PS Power, PL Power, MGT Power, Total Power
 0.012, 1.030, 0.000, 1.042
 0.011, 1.317, 0.000, 1.328
 0.014, 0.897, 0.000, 0.911
 0.012, 1.360, 0.000, 1.372
 0.014, 0.818, 0.000, 0.833
 0.012, 0.702, 0.000, 0.715
 0.012, 1.044, 0.000, 1.056
 0.012, 0.593, 0.000, 0.605
 0.011, 1.321, 0.000, 1.333
 0.011, 1.321, 0.000, 1.333
 0.014, 0.732, 0.000, 0.746
 0.012, 1.126, 0.000, 1.138
 0.012, 1.041, 0.000, 1.052
 0.012, 1.203, 0.000, 1.215
 0.012, 1.027, 0.000, 1.039
 0.014, 0.811, 0.000, 0.826
 0.013, 0.841, 0.000, 0.853
 0.014, 0.701, 0.000, 0.715
 0.012, 0.816, 0.000, 0.829
 0.012, 1.362, 0.000, 1.374
 0.012, 1.116, 0.000, 1.128
 0.012, 1.027, 0.000, 1.039
 0.012, 0.943, 0.000, 0.956
 0.009, 0.492, 0.000, 0.501
 0.010, 0.132, 0.000, 0.142
 0.010, 0.130, 0.000, 0.141
 0.010, 0.129, 0.000, 0.140
 0.010, 0.129, 0.000, 0.139
 0.010, 0.128, 0.000, 0.139
 0.010, 0.120, 0.000, 0.130
 0.010, 0.120, 0.000, 0.130
 0.010, 0.119, 0.000, 0.130
 0.015, 0.119, 0.000, 0.134
 0.011, 0.119, 0.000, 0.130
 0.011, 0.119, 0.000, 0.129
 0.012, 0.664, 0.000, 0.676
 0.012, 0.944, 0.000, 0.956
 0.012, 0.944, 0.000, 0.956
 0.012, 0.776, 0.000, 0.787
 0.012, 1.027, 0.000, 1.039
 0.012, 1.410, 0.000, 1.422
 0.012, 1.025, 0.000, 1.037
 0.012, 1.221, 0.000, 1.233
 0.012, 1.028, 0.000, 1.040
 0.012, 0.665, 0.000, 0.677
 0.012, 0.937, 0.000, 0.949
 0.015, 0.628, 0.000, 0.643
 0.012, 0.934, 0.000, 0.946
 0.012, 1.255, 0.000, 1.267
 0.012, 1.302, 0.000, 1.314
 0.012, 0.811, 0.000, 0.823
 0.014, 1.068, 0.000, 1.082
 0.012, 1.111, 0.000, 1.123
 0.012, 0.982, 0.000, 0.994
 0.012, 1.041, 0.000, 1.053
 0.012, 1.360, 0.000, 1.372
 0.011, 1.316, 0.000, 1.327
 0.012, 0.624, 0.000, 0.637
